No,B1,B2,B3,B4,B5,LS1,LS2,Jackpot,Wins
0243,4,13,19,23,38,2,3,11697000,0
0244,4,15,22,31,41,1,6,22911461,1
0245,3,10,12,42,50,1,5,11643000,0
0246,7,15,16,17,45,6,9,22430836,0
0247,3,18,25,34,41,2,5,17036152,2
0248,1,9,12,17,18,3,4,12232500,1
0249,8,10,14,21,26,3,4,12916500,1
0250,9,14,21,49,50,3,8,12733500,0
0251,8,11,16,25,41,2,4,23209583,1
0252,4,8,21,35,45,5,8,12993000,1
0253,2,19,28,42,49,2,7,6723750,2
0254,28,29,40,46,50,5,7,14019000,0
0255,1,2,26,44,50,1,7,25725186,0
0256,29,30,36,37,48,1,6,38731512,0
0257,7,15,22,28,48,1,4,50993587,1
0258,3,17,22,49,50,3,6,13554000,1
0259,32,33,36,40,49,2,8,14193000,0
0260,4,29,34,35,46,5,8,25509888,1
0261,10,20,30,36,40,3,5,6563250,2
0262,22,33,36,40,42,1,2,13461000,0
0263,9,12,13,14,48,1,2,25094625,0
0264,5,9,37,44,45,6,9,38191683,0
0265,13,17,19,25,35,5,6,45060000,2
0266,12,24,26,36,42,1,4,14858473,0
0267,12,16,23,31,35,4,6,14023690,2
0268,25,33,36,38,42,6,7,14082000,0
0269,2,20,24,32,46,1,9,25879558,0
0270,9,14,16,37,46,2,4,38126495,0
0271,4,7,21,44,47,1,5,51694404,0
0272,4,14,21,24,41,5,8,69762491,0
0273,5,19,31,38,47,3,5,88364737,0
0274,4,23,24,29,31,8,9,113229891,1
0275,8,18,19,20,42,5,9,13402500,1
0276,4,13,14,33,43,1,6,13254000,0
0277,2,5,30,37,47,3,6,24953014,0
0278,11,19,26,35,40,2,5,37574774,0
0279,6,14,16,34,50,4,6,24951269,2
0280,4,16,17,20,29,5,7,12853500,1
0281,6,11,21,30,39,2,8,12787500,0
0282,21,29,34,46,47,6,8,24056336,0
0283,6,16,20,42,46,1,6,36399342,0
0284,2,8,17,32,50,3,7,49802092,1
0285,14,15,25,35,47,5,9,13008000,0
0286,5,9,20,21,26,3,6,23957846,0
0287,10,20,22,24,31,2,7,35727239,0
0288,5,8,24,30,49,3,9,49372566,0
0289,4,7,16,31,42,3,5,32731271,2
0290,8,36,37,41,49,5,7,13219500,0
0291,6,9,20,38,39,3,9,24942782,0
0292,12,15,35,42,43,4,6,37805108,0
0293,6,16,30,38,41,2,4,90740000,1
0294,6,17,18,21,34,3,9,13830000,1
0295,22,23,24,29,44,1,5,13764000,0
0296,7,11,29,46,50,4,7,27066647,0
0297,12,23,30,31,47,3,4,40391228,0
0298,6,18,20,29,31,2,8,55868893,0
0299,9,33,35,38,40,2,6,71278155,0
0300,11,19,34,43,45,5,9,45570836,2
0301,13,15,25,26,32,3,4,14839480,1
0302,5,9,28,43,47,2,9,13536000,1
0303,5,8,13,15,33,8,9,13660500,0
0304,18,19,25,30,44,1,3,26301056,0
0305,20,41,43,44,46,2,9,39585642,0
0306,14,30,32,35,49,3,8,52883496,1
0307,4,5,14,17,34,3,5,13590000,0
0308,9,22,24,27,36,5,7,25315385,0
0309,4,5,14,44,46,8,9,38666984,0
0310,11,26,29,49,50,4,7,26151124,2
0311,4,22,27,36,44,7,9,13197000,0
0312,9,17,30,39,43,5,7,25403095,1
0313,34,35,38,39,46,3,4,87570000,0
0314,1,5,18,38,45,4,6,56008113,2
0315,12,31,37,38,43,2,3,13222500,0
0316,7,11,18,29,42,6,7,26963008,0
0317,12,18,19,43,49,3,9,41706216,1
0318,1,26,33,36,46,6,7,13633500,0
0319,10,28,30,38,39,2,7,26412247,0
0320,8,16,18,37,43,2,6,39754555,1
0321,12,18,24,26,45,4,5,13339500,1
0322,7,21,23,24,44,3,4,13177500,0
0323,9,11,17,26,40,3,9,25378348,0
0324,3,7,8,43,46,6,8,38064784,0
0325,6,22,24,25,36,3,8,52603784,0
0326,3,6,15,21,32,7,9,67967955,0
0327,1,17,31,43,47,2,3,84451321,1
0328,7,19,30,38,50,4,7,13072500,1
0329,4,9,31,32,33,3,7,12693000,1
0330,4,17,34,40,42,4,9,12442500,1
0331,2,22,24,36,44,1,2,12408000,1
0332,2,29,31,32,38,1,4,12540000,0
0333,1,8,18,28,31,8,9,23090988,1
0334,12,13,36,41,46,1,8,12424500,0
0335,9,24,37,39,49,3,9,23591586,0
0336,38,39,45,46,49,7,8,35767540,1
0337,4,13,35,37,46,3,9,12592500,0
0338,3,4,11,28,39,2,8,23414853,1
0339,13,25,28,29,42,4,5,12502500,1
0340,4,9,15,21,47,2,7,4093500,3
0341,5,27,31,40,42,1,6,12202500,1
0342,1,6,13,30,49,1,9,6173250,2
0343,13,24,26,47,49,4,8,12543000,1
0344,17,21,35,41,45,1,5,12454500,1
0345,17,27,29,38,50,1,3,12558000,0
0346,1,4,16,40,48,1,9,12235471,2
0347,1,4,6,27,48,1,6,87100000,0
0348,9,30,35,39,46,6,8,113019926,1
0349,2,31,36,38,43,3,7,13152000,0
0350,4,5,9,11,39,3,5,13115962,2
0351,16,20,22,32,42,8,9,13042500,0
0352,21,23,33,40,50,4,5,25300621,1
0353,7,19,23,29,47,1,6,13716650,0
0354,12,15,32,36,45,7,9,25874272,0
0355,9,28,36,41,49,5,7,38556253,1
0356,8,19,28,32,46,4,7,12748500,0
0357,2,3,10,33,46,7,8,24100215,0
0358,3,20,29,35,42,3,8,37234742,1
0359,19,36,38,42,46,2,8,16301884,1
0360,2,24,34,38,43,1,7,13178614,1
0361,1,22,32,48,50,6,7,12487500,1
0362,2,14,24,39,44,6,7,12657000,0
0363,3,11,13,18,21,4,5,12354361,2
0364,13,23,24,41,42,1,5,12940500,0
0365,2,11,24,35,47,5,9,4873640,5
0366,12,14,15,19,23,7,8,12714000,0
0367,2,3,15,45,49,5,9,24146665,0
0368,12,13,42,45,48,3,9,37687076,0
0369,11,25,27,28,41,5,8,53278317,0
0370,17,19,24,37,46,2,7,71628834,0
0371,1,13,20,26,50,6,7,94101577,0
0372,6,12,21,27,33,3,7,60861008,2
0373,4,17,21,22,33,4,8,13269000,1
0374,21,23,38,47,50,2,6,13275000,0
0375,4,6,21,39,41,2,6,25974202,0
0376,11,22,36,45,48,1,4,38301216,1
0377,15,25,38,40,41,1,2,13335000,0
0378,11,16,20,22,28,4,9,25227296,1
0379,3,10,15,28,45,5,7,88200000,0
0380,9,11,17,36,47,1,2,105892179,1
0381,20,21,37,45,46,2,3,13143000,0
0382,10,14,20,25,42,8,11,24115451,1
0383,16,23,24,26,29,2,9,13102500,0
0384,9,17,25,28,49,8,9,23752200,0
0385,1,9,10,22,50,5,11,29730067,0
0386,4,39,40,49,50,2,5,41359053,0
0387,6,25,36,38,40,4,10,48962688,0
0388,3,19,20,37,48,8,11,60872491,0
0389,5,12,19,41,48,8,10,68132630,0
0390,11,16,21,22,44,3,8,82001875,0
0391,17,20,35,49,50,3,4,91693456,0
0392,5,16,20,30,41,6,11,107428374,0
0393,15,16,30,44,50,2,3,120687895,0
0394,8,11,23,31,46,8,9,141820902,0
0395,11,28,29,47,49,1,5,159008879,0
0396,12,13,23,40,49,7,10,164761000,0
0397,17,19,38,42,45,9,10,161653000,1
0398,6,26,33,34,39,3,4,13173000,0
0399,3,16,25,26,35,5,9,20319793,1
0400,4,15,23,49,50,2,6,6612750,2
0401,1,5,22,25,48,3,11,13272000,0
0402,12,19,27,37,38,5,10,23933989,1
0403,5,8,14,24,33,3,8,13080000,0
0404,13,14,18,32,34,1,10,23440309,0
0405,7,23,24,34,36,8,11,30055771,0
0406,7,10,20,27,37,4,7,40675287,0
0407,1,13,17,18,45,3,8,47058914,0
